Date,Time,Average,Peak
2013:02:24,04:19:51.010,39.142855,39.142855
2013:02:24,04:19:51.108,39.407690,39.407690
2013:02:24,04:19:51.210,39.345848,39.345848
2013:02:24,04:19:51.311,39.922177,39.922177
2013:02:24,04:19:51.408,39.554833,39.560217
2013:02:24,04:19:51.509,39.875250,39.875513
2013:02:24,04:19:51.608,40.769633,40.790264
2013:02:24,04:19:51.709,42.509877,42.532129
2013:02:24,04:19:51.809,43.466163,43.466163
2013:02:24,04:19:51.908,44.461429,44.461429
2013:02:24,04:19:52.011,45.548536,45.548536
2013:02:24,04:19:52.108,45.652635,45.652635
2013:02:24,04:19:52.209,47.810959,47.810959
2013:02:24,04:19:52.313,46.764990,46.771498
2013:02:24,04:19:52.408,46.688728,46.688728
2013:02:24,04:19:52.509,46.883062,46.890555
2013:02:24,04:19:52.612,41.836324,41.848383
2013:02:24,04:19:52.708,42.399057,42.405699
2013:02:24,04:19:52.807,42.806615,42.811036
2013:02:24,04:19:52.907,42.053886,42.053886
2013:02:24,04:19:53.010,46.063451,46.066465
2013:02:24,04:19:53.108,43.504574,43.514642
2013:02:24,04:19:53.208,43.956651,43.956651
2013:02:24,04:19:53.310,44.911500,44.911500
2013:02:24,04:19:53.410,44.789799,44.801570
2013:02:24,04:19:53.510,47.802517,47.802517
2013:02:24,04:19:53.614,49.635775,49.642378
2013:02:24,04:19:53.708,49.829652,49.850183
2013:02:24,04:19:53.808,52.697123,52.697123
2013:02:24,04:19:53.911,49.814499,49.817963
2013:02:24,04:19:54.008,48.693967,48.693967
2013:02:24,04:19:54.109,46.666732,46.666732
2013:02:24,04:19:54.209,46.531615,46.536447
2013:02:24,04:19:54.309,50.027696,50.037148
2013:02:24,04:19:54.408,57.120661,57.129914
2013:02:24,04:19:54.509,54.856170,54.860259
2013:02:24,04:19:54.612,51.057014,51.065850
2013:02:24,04:19:54.708,51.854003,51.854003
2013:02:24,04:19:54.808,50.267059,50.267059
2013:02:24,04:19:54.912,57.565801,57.565801
2013:02:24,04:19:55.008,59.137559,59.146250
